Date,Crashes_per_100k,Season
2013-01-01,145.1930256762335,Winter
2013-02-01,140.00255464195214,Winter
2013-03-01,144.67793351873212,Spring
2013-04-01,139.38937982546707,Spring
2013-05-01,148.81512335379844,Spring
2013-06-01,140.77329450415937,Summer
2013-07-01,141.0058453246529,Summer
2013-08-01,146.65319171239372,Summer
2013-09-01,144.76810628586227,Fall
2013-10-01,166.83797013988615,Fall
2013-11-01,171.32604277757474,Fall
2013-12-01,169.8652439500662,Winter
2014-01-01,182.85364256327728,Winter
2014-02-01,153.7170272157006,Winter
2014-03-01,155.62037527057265,Spring
2014-04-01,141.701750014524,Spring
2014-05-01,151.92298033625684,Spring
2014-06-01,144.5382411504233,Summer
2014-07-01,144.7370562195213,Summer
2014-08-01,149.05351039742666,Summer
2014-09-01,154.34488080673842,Fall
2014-10-01,176.2566256417373,Fall
2014-11-01,177.8408645177727,Fall
2014-12-01,172.10694998151132,Winter
2015-01-01,175.34818357633185,Winter
2015-02-01,160.846049171059,Winter
2015-03-01,159.99987828109232,Spring
2015-04-01,150.07779191325892,Spring
2015-05-01,158.359291979322,Spring
2015-06-01,151.85400251021554,Summer
2015-07-01,155.38740512480376,Summer
2015-08-01,153.89304363784345,Summer
2015-09-01,158.7527583253566,Fall
2015-10-01,182.3622979873785,Fall
2015-11-01,177.4511396016912,Fall
2015-12-01,178.6767467381905,Winter
2016-01-01,201.86196716577714,Winter
2016-02-01,189.08802473308137,Winter
2016-03-01,186.25459845599937,Spring
2016-04-01,172.4019482916419,Spring
2016-05-01,178.89276640726456,Spring
2016-06-01,173.09436412972718,Summer
2016-07-01,163.97409919044148,Summer
2016-08-01,186.59631820800925,Summer
2016-09-01,168.50436213465954,Fall
2016-10-01,171.06664121721195,Fall
2016-11-01,158.1215293797503,Fall
2016-12-01,161.47898784899968,Winter
2017-01-01,162.46910145716072,Winter
2017-02-01,143.58419799712922,Winter
2017-03-01,171.40758872001476,Spring
2017-04-01,160.4640087739583,Spring
2017-05-01,175.57125487318416,Spring
2017-06-01,160.67162306467185,Summer
2017-07-01,150.00117125217633,Summer
2017-08-01,165.09734458923077,Summer
2017-09-01,160.61564410036095,Fall
2017-10-01,182.38530968276632,Fall
2017-11-01,175.46852424637177,Fall
2017-12-01,176.933819773719,Winter
2018-01-01,178.64099171590405,Winter
2018-02-01,158.09626952448116,Winter
2018-03-01,170.7015892594611,Spring
2018-04-01,159.2604541306997,Spring
2018-05-01,177.90760130825467,Spring
2018-06-01,163.30863455773726,Summer
2018-07-01,158.72961042720715,Summer
2018-08-01,170.41582094876247,Summer
2018-09-01,169.05184329448593,Fall
2018-10-01,187.46064623859954,Fall
2018-11-01,190.2042055983793,Fall
2018-12-01,176.77768442237684,Winter
2019-01-01,176.4103441393908,Winter
2019-02-01,161.88653978822336,Winter
2019-03-01,166.42130728779412,Spring
2019-04-01,162.0269473251501,Spring
2019-05-01,174.52748211491993,Spring
2019-06-01,164.31945823718374,Summer
2019-07-01,162.08298851125534,Summer
2019-08-01,168.80732170055774,Summer
2019-09-01,163.6649337320741,Fall
2019-10-01,192.71680643769957,Fall
2019-11-01,185.89744688934917,Fall
2019-12-01,178.95047181394386,Winter
2020-01-01,167.81931553041784,Winter
2020-02-01,157.8895502652187,Winter
2020-03-01,123.51976061681128,Spring
2020-04-01,76.30747051201615,Spring
2020-05-01,109.33243056449189,Spring
2020-06-01,123.68850926391983,Summer
2020-07-01,130.80023282335821,Summer
2020-08-01,136.81569718611297,Summer
2020-09-01,135.75282351313786,Fall
2020-10-01,159.2732284705567,Fall
2020-11-01,141.305139610627,Fall
2020-12-01,131.1498703080148,Winter
